Coil #,Weight,Reason
10817084,33017,Mill - Edge Cracks
40917020,32335,Mill - Edge Cracks
40917026,32670,Mill - Edge Cracks
40917064,32265,Mill - Edge Cracks
40917089,31950,Mill - Edge Cracks
60917015,31725,Mill - Edge Cracks
60917033,32400,Mill - Edge Cracks
60917063,31950,Mill - Edge Cracks
60917067,31770,Mill - Edge Cracks
70817055,24300,Mill - Edge Cracks
70917010,22150,Mill - Edge Cracks
70917020,18280,Mill - Edge Cracks
70917055,19726,Mill - Edge Cracks
70917056,27173,Mill - Edge Cracks
70917061,32796,Mill - Edge Cracks
70917062,33165,Mill - Edge Cracks
70917066,32490,Mill - Edge Cracks
70917067,31500,Mill - Edge Cracks
70917068,31500,Mill - Edge Cracks
70917073,18108,Mill - Edge Cracks
70917074,24300,Mill - Edge Cracks
80917069,31590,Mill - Edge Cracks
80917077,32895,Mill - Edge Cracks
30917002,23985,Mill - Oscillated ID
50917016,31770,Mill - Gauge Spikes
90917013,31320,Mill - Gauge Spikes
90917006,31266,Mill - Crane Damage
30717065,23310,Mill - Crane Damage
80817031,14330,Mill - Too Small
60917059,14110,Mill - Too Small
70917082,19800,Mill - Too Small
30817151,22000,Cast - Voids
70917088,32850,Cast - Voids
90817026,17504,Cast - Too Small
10817085,31950,Cast - Dog Ears
70917025,35350,Cast - Profile
90917045,34600,Cast - Profile
90917046,34000,Cast - Profile
40917078,36059,Cast - Profile
70917053,31680,Cast - Edge Freeze
